honest honorable fair
hypocrisy duplicity falseness
important required vital
intelligent smart bright
lucky auspicious fortunate
old antiquated ancient
positive optimistic cheerful
strong stable secure
unhappy sad depressed
valid authorized legitimate
bossy controlling tyrannical
outgoing friendly sociable
class lesson course
set collection configure
house apartment hotel
big colossal immense
business commerce trade
study learn research
food cooking nourishment
dog hound puppy
black dark inky
disastrous tragic catastrophic
water aqua sea
ship vessel boat
start begin establish
star sun planet
singer vocalist soloist
musician artist performer
football soccer futsal
trash garbage rubbish
bin basket holder
math mathematics geometry
graph chart diagram
car van truck
